video_id,author,comment,likes,published_at
JwAfHEHQKto,@NotScared,Bro gave Apple an idea for the camera control,1,2024-10-17T19:38:51Z
JwAfHEHQKto,@nekogamez,watching this on my 15 pro😀,0,2024-10-16T12:30:21Z
JwAfHEHQKto,@officialmonark,Fr bros the reason for the new button,1,2024-10-13T11:43:29Z
JwAfHEHQKto,@kshitijkoranne930,Can I get that wallpaper featured on the thumbnail please..?,0,2024-10-12T16:40:40Z
JwAfHEHQKto,@abdushsalman4883,"Something we can do with that power, while destroying ur iPhone’s battery",0,2024-10-10T10:20:01Z
JwAfHEHQKto,@HarshMistry-ri3jh,bro predicted the camera button,40,2024-10-07T20:21:34Z
JwAfHEHQKto,@gurnoorsinghwadhwa3668,he just predicted the iphone 16,14,2024-10-07T18:19:25Z
JwAfHEHQKto,@always_better_with_t,i guess we have you to thank for the capture button on the iphone 16 models,4,2024-10-05T21:44:24Z
JwAfHEHQKto,@Hydratail-,im getting this on monday!!!! im soo exitedddd!!!!!!!!!!,1,2024-10-05T19:29:45Z
JwAfHEHQKto,@calvinvangraan8948,Hi idk if i should get the iphone 15 pro or 16 base,1,2024-10-05T00:42:12Z
JwAfHEHQKto,@ephraim-duncan,Predicted the camera control on the 16s,2,2024-10-01T17:33:49Z
JwAfHEHQKto,@badpro6159,2:30 apple listened to mrwhosetheboss and added camera control (button) later year in iPhone 16 lineup,0,2024-09-28T15:47:26Z
JwAfHEHQKto,@mongoose392,"Good review - BUT, Tooooooooooooooooooo fast for non geeks........... slow down!",0,2024-09-26T18:50:54Z
JwAfHEHQKto,@balajikoneti23,"Hi, this is very good review.  Now iphone 16 released and iphone 15 pro will be discontinued. Is it still worth to buy this iphone 15 pro or latest 16 considering minimum updates in latest phone. Thanks",1,2024-09-23T07:14:15Z
JwAfHEHQKto,@harman7580,This mans audio quality is truely annoying it feels like sitting in his throat please somehow reduce his audio quality,1,2024-09-22T13:37:45Z
JwAfHEHQKto,@shivaprasad1084,Thumbnail wallpaper?,0,2024-09-21T23:23:23Z
JwAfHEHQKto,@seanyeo2782,good throw and catch mate,0,2024-09-18T20:13:40Z
JwAfHEHQKto,@haduck2,He predicted the shutter button,3,2024-09-17T02:35:19Z
JwAfHEHQKto,@NavindraMunialall-w3j,this guy's videos are so entertaining,0,2024-09-16T18:14:56Z
JwAfHEHQKto,@ThisisSherry,@mrwhosetheboss 2:31 you gave them the idea to add shutter button,19,2024-09-15T06:58:26Z
JwAfHEHQKto,@Cowfooty232,My iPhone sucks. Every time I drop it off the roof of my house it breaks. I’ve gone through 4 this month😢,1,2024-09-15T01:27:19Z
brqtaTjBkB0,@korrinekoh8730,love your honest feedback about not missing out much and we dont need to necessarily get the latest iphone! cheers!,0,2025-01-27T13:08:42Z
brqtaTjBkB0,@Siumaai,which should i get 15 pro or 15 pro max?,0,2025-01-24T17:04:54Z
brqtaTjBkB0,@ayodraws2720,Your voice and delivery is soothing. Love it,1,2025-01-17T13:43:30Z
brqtaTjBkB0,@AC-lt5ro,"iPhone 15 pro - oh wow it's incredible light

iPhone 16 Pro - add weight back 
 🗣 Bring back iPhone home screen landscape mode!",0,2025-01-17T03:05:43Z
brqtaTjBkB0,@lemns-0000,"the battery life and overheating problems are the reasons why I decided to spend more and just get the 16 pro instead of 15. yes it's bigger and heavier but even though I have small hands I'd rather have great battery life and better cooling, hopefully the 16 pro lasts atleast 3 years. a person I know has the 15 pro and battery health is down to 94% in only 7 months, they don't take care of the battery but still, that seems very abnormal.",2,2025-01-15T15:44:53Z
brqtaTjBkB0,@AlfonsoPerez-o3t,"THtt's a great phone. I loved the review, thank you.",0,2025-01-15T14:54:11Z
brqtaTjBkB0,@Foebaned,"I made it past the into and that's all it took, you got a sub bud",0,2025-01-14T23:08:33Z
brqtaTjBkB0,@tharkoti,how has no one commented about mosquito on bro's forehead in the beginning of the video,0,2025-01-14T22:03:36Z
brqtaTjBkB0,@ninjasmkin,Good work 👍🏻,0,2025-01-01T20:36:24Z
brqtaTjBkB0,@emiel333,Great long term review. Subscribed.,0,2024-12-30T04:24:01Z
brqtaTjBkB0,@foxfromjamaica,Wow your really good with an iphone camera! Inspiring shots,0,2024-12-25T23:35:38Z
brqtaTjBkB0,@kenntootTV,What adobe app do you use?,0,2024-12-21T17:56:05Z
brqtaTjBkB0,@Martuhhhh,"Exactly what I was looking for, very good takes and excellent production quality. Appreciate the video!",1,2024-12-17T22:41:04Z
brqtaTjBkB0,@extremedemonslayer42069shrek,Is it worth it to upgrade from a iPhone 8?,1,2024-12-17T22:04:56Z
brqtaTjBkB0,@IgorRock-e2x,You have a hint of lebron face,0,2024-12-08T18:51:04Z
brqtaTjBkB0,@mofangei,3:38 nahhh thas crazy mine is at 87% 💀 with 610 cycles,3,2024-12-08T08:53:29Z
brqtaTjBkB0,@laxmi2810,How’s is that you are still at 97%. I have one year use and I’m at 90%,8,2024-12-01T23:23:22Z
brqtaTjBkB0,@makeupyourmindinator,"I can’t remember the last time I’ve had an update be so buggy, 18 is great and all but needs a lot of fixes. Hopefully 18.2 will bring some of those.",0,2024-11-25T00:05:28Z
brqtaTjBkB0,@VIPER1149,"As an Android budget user who got an iPhone 15 Pro, man… I understand why Apple user loves Apple so much (some exceptions) Watching this from my iPhone 15 Pro ❤❤❤",3,2024-11-24T17:51:35Z
brqtaTjBkB0,@crackthecodehdtv,I’m getting ready to get one and they don’t like it they popping up they slamming stuff,0,2024-11-24T14:05:49Z
brqtaTjBkB0,@m2chip,"I currently have an se 2022, I am getting a 15 pro brand new very soon because some places still have it in stock and it’s better than the normal 16 overall",2,2024-11-21T08:12:24Z
brqtaTjBkB0,@ryanvillaruel3622,i got 15 pro last aug hahaha it will be my daily driver for the next 4-5 yrs,0,2024-11-18T06:20:23Z
brqtaTjBkB0,@henexstudios7634,The grading of your video is next level mehnnn,2,2024-11-15T22:55:41Z
brqtaTjBkB0,@mohamedabd_alwhab4329,What about heat problem in battery??,0,2024-11-14T08:32:29Z
brqtaTjBkB0,@ftbl_edits.lfcGaming,This long term review was so helpful thanks man ! However is it worth upgrading to iPhone 15 pro from a 12 mini ?,2,2024-11-10T23:52:52Z
brqtaTjBkB0,@CbankS1987,Just got my 15 pro max last Aug. happy with my choice and the natural titanium colour is mint. Not to light and not to dark,1,2024-11-08T04:04:11Z
brqtaTjBkB0,@jdstv1504,Perfect size❤,0,2024-11-03T06:38:58Z
brqtaTjBkB0,@danial-v6e,can u share ur charging routine,1,2024-11-03T05:05:30Z
brqtaTjBkB0,@kshitijkoranne930,"Brother, please speak a lit louder. I genuinely thought I had hearing loss...lol.",0,2024-10-31T15:34:46Z
brqtaTjBkB0,@LeNNiS02,cant wait to upgrade from my xs😩,0,2024-10-30T12:12:04Z
brqtaTjBkB0,@ezpeezee5368,How's the battery life ? How many hours to get lowbat your phone?,0,2024-10-30T05:44:04Z
brqtaTjBkB0,@Flakz10,S23 ultra or IP 15 pro?,0,2024-10-28T23:09:32Z
brqtaTjBkB0,@PaulPaul-si8tu,iPhone 11 still great maybe I will wait for 17,0,2024-10-28T08:31:49Z
brqtaTjBkB0,@DeeDimes,Great video brother!,0,2024-10-28T02:04:16Z
brqtaTjBkB0,@kimshi3675,Miss the mini lol,0,2024-10-26T14:08:46Z
brqtaTjBkB0,@Paxmor,"Today’s phones are fast enough and bright enough, if I was a decision maker at one of these companies I would really push on efficiency and battery technology. These features are also good for marketing and sales so the people in that portion of the company would be happy with advertising it to users.

Also pressing designers to make better software that allows users longer battery life.",0,2024-10-24T15:52:02Z
brqtaTjBkB0,@dail42,"Just got one for free from TMobile by adding a line, and got a little trade in for my 12 that was beat!",0,2024-10-24T01:47:54Z
brqtaTjBkB0,@Noah-Lach,There IS a visual distinction between the 15 and 16 Pro. It lost the gorgeous brushed finish in favour of a boring sandblasted texture.,0,2024-10-24T00:07:24Z
brqtaTjBkB0,@frankpedersen5221,You can still pay a 1000 or more the iPhone 15 pro,0,2024-10-20T04:26:55Z
brqtaTjBkB0,@somethingreal22,"First time iphone user here. After a year of using  15 Pro, i just want to give up and go back to Android. Probably having a hard time to adjust to the iOS environment plus the screensize, but this review made me hold on to it a bit longer. Thank you. I love how you do your reviews.",7,2024-10-19T04:21:52Z
